,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
82,Signal_tauPrime2e-200-ZPrime-7000,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hfail_Ptsyst_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,Ptsyst,
83,Signal_tauPrime2e-200-ZPrime-7000,fail,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hfail_Ptsyst_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,Ptsyst,
84,Signal_tauPrime2e-200-ZPrime-7000,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hfail_MuonRecoSF_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
85,Signal_tauPrime2e-200-ZPrime-7000,fail,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hfail_MuonRecoSF_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
86,Signal_tauPrime2e-200-ZPrime-7000,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hfail_MuonIDSF_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,MuonIDSF,
87,Signal_tauPrime2e-200-ZPrime-7000,fail,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hfail_MuonIDSF_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,MuonIDSF,
88,Signal_tauPrime2e-200-ZPrime-7000,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hfail_MuonTriggerSF_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
89,Signal_tauPrime2e-200-ZPrime-7000,fail,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hfail_MuonTriggerSF_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
90,Signal_tauPrime2e-200-ZPrime-7000,fail,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hfail,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,,,,,
955,data_obs,pass,default,1,DATA,1.0,nominal,.//HSCP_Data-SR1.root,hpass,Data,Data,,,,,,
1028,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,lumi,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,,lnN,,,1.016
1029,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_PUsyst_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,PUsyst,
1030,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,pileup,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_PUsyst_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,PUsyst,
1031,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_Fsyst_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,Fsyst,
1032,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnF,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_Fsyst_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,Fsyst,
1033,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_Gsyst_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,Gsyst,
1034,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnG,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_Gsyst_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,Gsyst,
1035,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_Triggersyst_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,Triggersyst,
1036,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnTrigger,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_Triggersyst_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,Triggersyst,
1037,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_Ptsyst_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,Ptsyst,
1038,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnPt,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_Ptsyst_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,Ptsyst,
1039,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_MuonRecoSF_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,MuonRecoSF,
1040,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnMuReco,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_MuonRecoSF_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,MuonRecoSF,
1041,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_MuonIDSF_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,MuonIDSF,
1042,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnMuID,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_MuonIDSF_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,MuonIDSF,
1043,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_MuonTriggerSF_up,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Up,shapes,1.0,MuonTriggerSF,
1044,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,systOnMuTrigger,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass_MuonTriggerSF_down,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,Down,shapes,1.0,MuonTriggerSF,
1045,Signal_tauPrime2e-200-ZPrime-7000,pass,default,2,SIGNAL,1.0,nominal,.//HSCP_Signal_tauPrime2e-200-ZPrime-7000-SR1.root,hpass,Signal_tauPrime2e-200-ZPrime-7000,HSCP signal,,,,,,
